2.0 Column ปริมาณเสา,,,,,,,,,,
Type,Count,Radius,Width,Depth,Length,Perimeter,Formwork,Area Column,Volume New,Family
,,,,,,,,,,
C01 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C01 - 300x1200 mm. (F-3),3,,1200.000,300.000,2.80 m,3000.000,37.05 m²,1.080 m²,4.446 m³,Rectangular Column
C02 - 300x1200 mm. (1-3),2,,1200.000,300.000,2.80 m,3000.000,17.70 m²,0.720 m²,2.124 m³,Rectangular Column
C02 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C02 - 300x1600 mm. (F-1),1,,1600.000,300.000,0.30 m,3800.000,1.14 m²,0.480 m²,0.144 m³,Rectangular Column
C03 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C03 - 300x1200 mm. (F- 3),3,,1200.000,300.000,2.80 m,3000.000,37.05 m²,1.080 m²,4.446 m³,Rectangular Column
C04 - 300x1170 mm. (1-3),2,,1170.000,300.000,2.80 m,2940.000,17.35 m²,0.702 m²,2.071 m³,Rectangular Column
C04 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C04 - 300x1600 mm. (F-1),1,,1600.000,300.000,0.30 m,3800.000,1.14 m²,0.480 m²,0.144 m³,Rectangular Column
C05 - 300x1200 mm. (3- R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C05 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C06 - 300x1200 mm. (3-R),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C06 - 300x1200 mm. (F-3),3,,1200.000,300.000,2.80 m,3000.000,28.20 m²,1.080 m²,3.384 m³,Rectangular Column
C07 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C07 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C08 - 300x1200 mm. (3-R),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C08 - 300x1200 mm. (F-3),3,,1200.000,300.000,2.80 m,3000.000,28.20 m²,1.080 m²,3.384 m³,Rectangular Column
C09 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C09 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C10 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C10 - 300x1200 mm. (F-3),3,,1200.000,300.000,2.80 m,3000.000,28.20 m²,1.080 m²,3.384 m³,Rectangular Column
C11 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C11 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C12 - 300x1200 mm. (3-8),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C12 - 300x1200 mm. (8-R),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
C12 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C13 - 300x1200 mm. (3-8),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C13 - 300x1200 mm. (8-R),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
C13 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.65 m,3000.000,19.65 m²,1.080 m²,2.358 m³,Rectangular Column
C14 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C14 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C15 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C15 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C16 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C16 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C17 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C17 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C18 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C18 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C19 - 300x1200 mm. (3-8),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C19 - 300x1200 mm. (8-R),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
C19 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C20 - 300x1200 mm. (3- R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C20 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C21 - 300x1200 mm. (3-R),6,,1200.000,300.000,2.80 m,3000.000,50.40 m²,2.160 m²,6.048 m³,Rectangular Column
C21 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C22 - 300x1200 mm. (3-7),4,,1200.000,300.000,2.80 m,3000.000,33.60 m²,1.440 m²,4.032 m³,Rectangular Column
C22 - 300x1200 mm. (7-8),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
C22 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C23 - 300x1200 mm. (3-8),5,,1200.000,300.000,2.80 m,3000.000,42.00 m²,1.800 m²,5.040 m³,Rectangular Column
C23 - 300x1200 mm. (F-3),3,,1200.000,300.000,0.30 m,3000.000,18.60 m²,1.080 m²,2.232 m³,Rectangular Column
C24 - 250x3500 mm. (3-8),5,,3500.000,250.000,2.80 m,7500.000,105.00 m²,4.375 m²,12.250 m³,Rectangular Column
C24 - 250x3500 mm. (F-3),3,,3500.000,250.000,0.30 m,7500.000,46.50 m²,2.625 m²,5.425 m³,Rectangular Column
C25 - 200x500 mm. (1-2),2,,500.000,200.000,3.10 m,1400.000,8.68 m²,0.200 m²,0.620 m³,Rectangular Column
C25 - 300x500 mm. (F-1),2,,500.000,300.000,0.30 m,1600.000,0.96 m²,0.300 m²,0.090 m³,Rectangular Column
C26 - 250x250 mm. (F-1),2,,250.000,250.000,0.30 m,1000.000,0.60 m²,0.125 m²,0.038 m³,Rectangular Column
C27 - 200x200 mm. (1-3),2,,200.000,200.000,2.80 m,800.000,4.72 m²,0.080 m²,0.236 m³,Rectangular Column
C27 - 300x300 mm. (F-1),2,,300.000,300.000,0.30 m,1200.000,0.72 m²,0.180 m²,0.054 m³,Rectangular Column
CX1 - 200x200 mm. (1-3),2,,200.000,200.000,3.10 m,800.000,4.96 m²,0.080 m²,0.248 m³,Rectangular Column
CX2 - 200x500 mm. (8-R),2,,200.000,500.000,2.80 m,1400.000,7.84 m²,0.200 m²,0.560 m³,Rectangular Column
CX3 - 250x250 mm. (R-TOR),4,,250.000,250.000,1.25 m,1000.000,7.70 m²,0.250 m²,0.481 m³,Rectangular Column
Rectangular Column: 229,229,,,,,,1807.96 m²,81.717 m²,214.439 m³,
Spun Pile - 0.60x27.00 m.,123,300.000,,,3.10 m,1884.000,747.76 m²,34.760 m²,112.164 m³,Round Column
Round Column: 123,123,,,,,,747.76 m²,34.760 m²,112.164 m³,
,352,,,,,,2555.72 m²,116.477 m²,326.603 m³,
